beta,mean_influence,std_influence
0.05,-0.021352093583473026,0.007802136888901657
0.2823529411764706,0.0016678992463699219,0.008324728471205982
0.5147058823529412,0.01203636592441177,0.010292469257092735
0.7470588235294118,0.01690478305079861,0.010524551289178443
0.9794117647058824,0.020944432077501716,0.01106271413325677
1.211764705882353,0.02285485598387531,0.013748720253122487
1.4441176470588235,0.02219885822551787,0.012212255536859153
1.6764705882352942,0.02782790581729742,0.015400277165922056
1.9088235294117648,0.02711214438651034,0.01610154977104408
2.1411764705882352,0.028876941499459546,0.015886241798590557
2.373529411764706,0.031311984640199186,0.01625580979736002
2.6058823529411765,0.033629971157515974,0.01712390096356598
2.8382352941176467,0.03133158254302462,0.019136698627130282
3.0705882352941174,0.03175884594718866,0.020590938014979875
3.302941176470588,0.02955765462969131,0.022853418216239454
3.5352941176470587,0.029005700178488813,0.021801606423138324
3.7676470588235293,0.02435256837806004,0.02229869213725666
4.0,0.030160832563308215,0.023343534484003104
