beta,mean_influence,std_influence
0.25,0.12988726304737191,0.0004621424689362131
0.3014705882352941,0.13214643368782913,0.0004327687893245058
0.3529411764705882,0.13400111746234,0.0005026040827631245
0.40441176470588236,0.1356916023496234,0.00044236542059141023
0.45588235294117646,0.13709970612332756,0.0005404822501372958
0.5073529411764706,0.13813387525088017,0.0005349121299891692
0.5588235294117647,0.13902647130677795,0.0003829851120730516
0.6102941176470589,0.13971272175509586,0.0004872832029940212
0.6617647058823529,0.13995486667464094,0.0005298622620697405
0.713235294117647,0.14005054753996984,0.0005285102790394233
0.7647058823529411,0.13980149121434057,0.00044722523454059803
0.8161764705882353,0.13953908554033775,0.00046034533214444847
0.8676470588235294,0.13888110401510528,0.0005539443460828927
0.9191176470588235,0.137958733792896,0.0005068548434711056
0.9705882352941176,0.13670487552737434,0.0004748864803445513
1.0220588235294117,0.13542996736132595,0.00048356260721958195
1.0735294117647058,0.1337424808879214,0.00045754222233699015
1.125,0.13191782907853145,0.0004686019867032737
1.176470588235294,0.12958934567391625,0.0004771500993409849
1.2279411764705883,0.12712622441394636,0.0004863836015902846
1.2794117647058822,0.12459264261930675,0.00047130144954270664
1.3308823529411764,0.12147670134346353,0.0004592324207252114
1.3823529411764706,0.11840142158632574,0.0005109273951780288
1.4338235294117647,0.11480169079431254,0.0005809000366659356
1.4852941176470589,0.11111804040886639,0.0005003071804328939
1.5367647058823528,0.1071758854496289,0.0004951424407436618
1.588235294117647,0.10290072443212712,0.00044054972937755107
1.6397058823529411,0.09843028554723628,0.0005255915535574567
1.6911764705882353,0.09383654595533804,0.00045709248615533537
1.7426470588235294,0.08887682361294225,0.000538303653415113
1.7941176470588234,0.08350022806645542,0.0005270463688575876
1.8455882352941175,0.07789802995944389,0.0004999424047321942
1.8970588235294117,0.0723710050869628,0.0005120963599530964
1.9485294117647058,0.06630520810130874,0.00042892515119775064
2.0,0.0601005025322696,0.0004180664632355465
